Car Name,Range (km),Battery (kWh),Efficiency (Wh/km),Towing Capacity (kg),Fast Charging Speed (kW),Weight (kg),0-100 km/h (s),Stop Range (km),Price per Range (€),Cargo Volume (L),German Price (€),Dutch Price (€),UK Price (£)
Porsche Taycan 4S Cross Turismo,440 km,"83,7 kWh",190 Wh/km,0 kg,216 kW,2.320 kg,"4,1 sec",557 km,€269 /km,530 L,"€119,914","€126,064","£95,200"
Citroen e-SpaceTourer M 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.211 kg,"14,2 sec",250 km,€197 /km,603 L,"€52,230",N/A,"£43,535"
Lucid Air Dream Edition P,665 km,"118,0 kWh",177 Wh/km,0 kg,185 kW,2.435 kg,"2,7 sec",766 km,€331 /km,739 L,"€218,000","€222,000",N/A
Renault Kangoo Grand E-Tech Electric,220 km,"45,0 kWh",205 Wh/km,1.500 kg,50 kW,1.992 kg,"13,3 sec",218 km,€183 /km,500 L,"€40,250",N/A,N/A
Renault Zoe Q90,245 km,"41,0 kWh",167 Wh/km,0 kg,33 kW,1.548 kg,"13,5 sec",224 km,€121 /km,338 L,N/A,N/A,"£25,770"
Genesis GV60 Sport,380 km,"74,0 kWh",195 Wh/km,1.600 kg,200 kW,2.095 kg,"5,5 sec",476 km,€171 /km,432 L,"€63,200",N/A,"£58,365"
Mercedes-Benz EQS AMG 53 4MATIC+,535 km,"108,4 kWh",203 Wh/km,750 kg,173 kW,2.700 kg,"3,4 sec",590 km,€321 /km,620 L,"€155,009","€173,825","£161,860"
Mercedes-Benz EQE SUV AMG 53 4MATIC+,420 km,"90,6 kWh",216 Wh/km,1.800 kg,141 kW,2.690 kg,"3,5 sec",453 km,€335 /km,520 L,"€139,438","€149,788","£114,995"
Mercedes-Benz EQV 300 Extra-Long,315 km,"90,0 kWh",286 Wh/km,0 kg,96 kW,2.788 kg,"12,2 sec",291 km,€276 /km,1.410 L,"€62,897","€89,679","£93,955"
Ford Mustang Mach-E SR AWD,350 km,"72,6 kWh",207 Wh/km,750 kg,95 kW,2.300 kg,"6,2 sec",369 km,€165 /km,422 L,"€57,900",N/A,N/A
Citroen C-Zero ,85 km,"14,5 kWh",171 Wh/km,0 kg,30 kW,1.140 kg,"15,9 sec",101 km,€328 /km,166 L,"€29,393","€29,950","£21,216"
Peugeot e-Rifter Standard 50 kWh,205 km,"46,3 kWh",226 Wh/km,750 kg,78 kW,1.765 kg,"11,7 sec",217 km,€193 /km,571 L,"€41,240","€39,620","£33,120"
Ford Mustang Mach-E GT,425 km,"91,0 kWh",214 Wh/km,750 kg,86 kW,2.348 kg,"4,4 sec",397 km,€197 /km,422 L,"€86,200","€79,200","£74,540"
BMW i5 xDrive40 Touring,440 km,"81,2 kWh",185 Wh/km,2.000 kg,136 kW,2.405 kg,"5,5 sec",502 km,€183 /km,570 L,"€77,600","€83,327",N/A
Tesla Model S P90DL,405 km,"85,5 kWh",211 Wh/km,unknown,90 kW,2.271 kg,"3,0 sec",401 km,€330 /km,895 L,"€129,600","€137,700",N/A
Volkswagen ID.5 Pro,430 km,"77,0 kWh",179 Wh/km,1.000 kg,125 kW,2.118 kg,"10,4 sec",454 km,€124 /km,549 L,"€47,935","€53,990","£50,710"
Audi Q4 Sportback e-tron 35,300 km,"52,0 kWh",173 Wh/km,1.000 kg,90 kW,1.990 kg,"9,0 sec",341 km,€159 /km,535 L,"€47,600",N/A,N/A
Sono Sion ,260 km,"47,0 kWh",181 Wh/km,750 kg,60 kW,1.730 kg,"9,0 sec",261 km,€116 /km,650 L,"€29,900","* €30,400",N/A
Porsche Taycan Sport Turismo,380 km,"71,0 kWh",187 Wh/km,0 kg,183 kW,2.155 kg,"5,4 sec",480 km,€251 /km,530 L,"€94,091","€99,563","£80,200"
Mercedes-Benz EQE 350,510 km,"89,0 kWh",175 Wh/km,750 kg,120 kW,2.385 kg,"6,4 sec",554 km,€158 /km,430 L,"€70,210","€83,238","£77,345"
Ford Mustang Mach-E SR AWD,350 km,"72,6 kWh",207 Wh/km,750 kg,95 kW,2.300 kg,"6,2 sec",369 km,€168 /km,422 L,"€57,900","€59,400",N/A
Nissan Ariya e-4ORCE 87kWh - 290 kW,405 km,"87,0 kWh",215 Wh/km,1.500 kg,110 kW,2.259 kg,"5,1 sec",400 km,€168 /km,415 L,"€71,490","€64,990","£59,025"
Lucid Air Pure AWD,560 km,"92,0 kWh",164 Wh/km,0 kg,160 kW,2.337 kg,"4,2 sec",645 km,€200 /km,739 L,"€109,000","€115,000",N/A
Tesla Model X Performance,440 km,"95,0 kWh",216 Wh/km,2.250 kg,100 kW,2.572 kg,"3,6 sec",438 km,€243 /km,unknown,"€107,600","€106,220","£93,150"
Mercedes-Benz EQS SUV 450 4MATIC,490 km,"108,4 kWh",221 Wh/km,1.800 kg,173 kW,2.805 kg,"6,0 sec",521 km,€267 /km,645 L,"€114,609","€129,660","£129,470"
Tesla Model S P90D,405 km,"85,5 kWh",211 Wh/km,unknown,90 kW,2.271 kg,"3,3 sec",401 km,€316 /km,895 L,"€124,200","€132,000",N/A
Citroen e-SpaceTourer M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€276 /km,507 L,"€53,640","€57,083","£37,045"
Abarth 500e Convertible,225 km,"37,8 kWh",168 Wh/km,0 kg,67 kW,1.435 kg,"7,0 sec",251 km,€182 /km,185 L,"€40,990","€38,990","£37,195"
Porsche Taycan Turbo,445 km,"83,7 kWh",188 Wh/km,0 kg,216 kW,2.380 kg,"3,2 sec",568 km,€360 /km,450 L,"€164,420","€171,763","£125,800"
Volkswagen ID.5 GTX,405 km,"77,0 kWh",190 Wh/km,1.200 kg,115 kW,2.243 kg,"6,3 sec",447 km,€152 /km,549 L,"€56,455","€63,790","£56,545"
Tesla Model X 60D,285 km,"62,0 kWh",218 Wh/km,unknown,95 kW,2.427 kg,"6,2 sec",306 km,€315 /km,unknown,"€89,100","€90,600",N/A
Hyundai Kona Electric 39 kWh,245 km,"39,2 kWh",160 Wh/km,0 kg,37 kW,1.610 kg,"9,7 sec",221 km,€135 /km,332 L,"€34,600",N/A,"£27,250"
Smart EQ forfour ,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.200 kg,"12,7 sec",65 km,€237 /km,185 L,"€22,600","€23,995","£18,190"
Peugeot e-Expert Combi Long 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"14,3 sec",250 km,€227 /km,989 L,"€58,730","€59,303",N/A
Audi e-tron Sportback 50 quattro,295 km,"64,7 kWh",219 Wh/km,1.800 kg,114 kW,2.445 kg,"6,8 sec",315 km,€245 /km,615 L,"€71,350",N/A,"£63,835"
Audi SQ8 e-tron Sportback ,480 km,"106,0 kWh",221 Wh/km,1.800 kg,144 kW,2.725 kg,"4,5 sec",493 km,€221 /km,590 L,"€100,350","€101,990","£101,315"
Jeep Avenger Electric 1st Edition,310 km,"50,8 kWh",164 Wh/km,0 kg,85 kW,1.611 kg,"9,0 sec",327 km,€132 /km,355 L,"€39,900",N/A,"£36,500"
Porsche Taycan ,420 km,"71,0 kWh",169 Wh/km,0 kg,183 kW,2.125 kg,"5,4 sec",532 km,€225 /km,491 L,"€93,139","€98,663","£79,200"
Porsche Taycan Turbo Cross Turismo,495 km,"97,0 kWh",196 Wh/km,0 kg,240 kW,2.395 kg,"2,8 sec",620 km,€348 /km,489 L,"€177,000","€184,500","£135,200"
Skywell BE11 Standard Range,330 km,"68,0 kWh",206 Wh/km,unknown,50 kW,1.880 kg,"9,6 sec",296 km,€129 /km,467 L,N/A,N/A,"£36,995"
Volkswagen ID.5 Pro,430 km,"77,0 kWh",179 Wh/km,1.000 kg,125 kW,2.117 kg,"10,4 sec",459 km,€119 /km,549 L,"€46,515","€48,590","£50,550"
Skoda Enyaq Coupe iV 80x,435 km,"77,0 kWh",177 Wh/km,1.200 kg,115 kW,2.214 kg,"7,0 sec",473 km,€135 /km,575 L,"€56,650",N/A,"£52,505"
NIO ET5 Touring Standard Range,400 km,"73,5 kWh",184 Wh/km,1.400 kg,110 kW,2.265 kg,"4,0 sec",434 km,€154 /km,450 L,"€59,500","€63,900",N/A
NIO EL6 Standard Range,365 km,"73,5 kWh",201 Wh/km,1.200 kg,110 kW,2.378 kg,"4,5 sec",388 km,€183 /km,579 L,"€65,500","€67,900",N/A
Abarth 600e Turismo,280 km,"50,8 kWh",181 Wh/km,0 kg,79 kW,1.700 kg,"6,2 sec",293 km,€159 /km,360 L,"€44,990","€45,990","£36,975"
Skoda Enyaq iV RS,420 km,"77,0 kWh",183 Wh/km,1.200 kg,115 kW,2.258 kg,"6,2 sec",456 km,€147 /km,585 L,"€63,300",N/A,"£52,670"
Mercedes-Benz eVito Tourer Extra-Long 41 kWh,120 km,"35,0 kWh",292 Wh/km,0 kg,0 kW,2.285 kg,"16,0 sec",85 km,€461 /km,1.390 L,"€55,275","€55,418",N/A
Mercedes-Benz EQS 500 4MATIC,590 km,"107,8 kWh",183 Wh/km,750 kg,173 kW,2.615 kg,"4,8 sec",655 km,€231 /km,610 L,"€125,378","€147,326",N/A
Ford Mustang Mach-E ER RWD,480 km,"91,0 kWh",190 Wh/km,1.500 kg,86 kW,2.160 kg,"7,0 sec",448 km,€138 /km,422 L,"€71,200","€59,400","£59,380"
NIO EL8 Standard Range,365 km,"73,5 kWh",201 Wh/km,2.000 kg,110 kW,2.538 kg,"4,1 sec",393 km,€255 /km,265 L,"€94,900","€90,900",N/A
Opel Combo-e Life XL 50 kWh,230 km,"50,0 kWh",217 Wh/km,750 kg,80 kW,1.881 kg,"11,3 sec",242 km,€169 /km,1.050 L,"€39,600",N/A,"£33,080"
Mercedes-Benz eVito Tourer Long 60 kWh,210 km,"60,0 kWh",286 Wh/km,0 kg,96 kW,2.380 kg,"12,0 sec",211 km,€333 /km,990 L,"€60,678","€79,061",N/A
ORA Funky Cat GT,330 km,"59,3 kWh",180 Wh/km,0 kg,55 kW,1.615 kg,"8,2 sec",300 km,€150 /km,228 L,"€49,490",N/A,N/A
Peugeot e-Traveller L3 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.240 kg,"14,2 sec",246 km,€213 /km,989 L,"€53,230",N/A,"£49,895"
Ford Mustang Mach-E SR RWD,375 km,"70,0 kWh",187 Wh/km,750 kg,78 kW,2.044 kg,"6,9 sec",375 km,€156 /km,422 L,"€56,500","€61,200","£50,030"
ORA Funky Cat 63 kWh,340 km,"59,3 kWh",174 Wh/km,0 kg,55 kW,1.615 kg,"8,2 sec",313 km,€123 /km,228 L,"€44,490",N/A,"£33,795"
Ford Mustang Mach-E GT,410 km,"88,0 kWh",215 Wh/km,750 kg,86 kW,2.348 kg,"4,4 sec",388 km,€184 /km,422 L,"€72,900","€76,890","£66,280"
Porsche Taycan 4S Plus Sport Turismo,510 km,"97,0 kWh",190 Wh/km,0 kg,240 kW,2.350 kg,"3,7 sec",639 km,€246 /km,530 L,"€127,322","€133,631","£100,996"
Citroen e-SpaceTourer M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,3 sec",252 km,€237 /km,507 L,"€59,640","€66,097",N/A
Peugeot e-Traveller Standard 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"14,3 sec",252 km,€238 /km,603 L,"€59,640","€66,442",N/A
Porsche Taycan Turbo S Cross Turismo,485 km,"97,0 kWh",200 Wh/km,0 kg,240 kW,2.400 kg,"2,5 sec",604 km,€425 /km,489 L,"€211,300","€220,400","£162,500"
Citroen E-Berlingo Multispace,100 km,"20,5 kWh",205 Wh/km,unknown,30 kW,1.679 kg,"19,5 sec",105 km,€317 /km,1.350 L,N/A,"€31,670",N/A
Tesla Model S 70D,355 km,"69,0 kWh",194 Wh/km,unknown,95 kW,2.183 kg,"5,4 sec",369 km,€251 /km,895 L,"€88,200","€89,700",N/A
Opel Vivaro-e Combi L 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,3 sec",250 km,€225 /km,912 L,"€57,775","€59,059",N/A
Ford Mustang Mach-E GT,425 km,"91,0 kWh",214 Wh/km,750 kg,86 kW,2.348 kg,"4,4 sec",397 km,€191 /km,422 L,"€77,200","€82,920","£72,830"
Mercedes-Benz EQT 200 Long,220 km,"45,0 kWh",205 Wh/km,1.500 kg,50 kW,1.944 kg,"13,3 sec",221 km,€213 /km,828 L,"€41,613","€52,326",N/A
Genesis GV60 Sport Plus,365 km,"74,0 kWh",203 Wh/km,1.600 kg,200 kW,2.145 kg,"4,0 sec",465 km,€206 /km,432 L,"€73,100",N/A,"£67,505"
Ford Mustang Mach-E ER RWD,480 km,"91,0 kWh",190 Wh/km,1.000 kg,86 kW,2.160 kg,"7,0 sec",448 km,€135 /km,422 L,"€62,950","€67,360","£56,080"
Fiat E-Ulysse L2 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.140 kg,"13,3 sec",252 km,€234 /km,450 L,"€61,990",N/A,N/A
Abarth 500e Scorpionissima,225 km,"37,8 kWh",168 Wh/km,0 kg,67 kW,1.410 kg,"7,0 sec",251 km,€195 /km,185 L,"€43,000","€44,000","£38,695"
Peugeot e-Rifter XL 50 kWh,230 km,"50,0 kWh",217 Wh/km,750 kg,80 kW,1.901 kg,"11,7 sec",239 km,€177 /km,1.050 L,"€39,440","€44,739","£33,130"
Mercedes-Benz EQE AMG 43 4MATIC,450 km,"90,6 kWh",201 Wh/km,1.700 kg,141 kW,2.535 kg,"4,2 sec",491 km,€240 /km,430 L,"€104,756","€111,068",N/A
VinFast VF 8 Plus Extended Range,400 km,"87,7 kWh",219 Wh/km,1.800 kg,120 kW,2.595 kg,"5,5 sec",416 km,€144 /km,376 L,"€58,890","€56,690",N/A
Porsche Taycan Turbo S,430 km,"83,7 kWh",195 Wh/km,0 kg,216 kW,2.370 kg,"2,8 sec",549 km,€445 /km,450 L,"€197,740","€206,163","£148,300"
Mercedes-Benz EQE AMG 53 4MATIC+,450 km,"90,6 kWh",201 Wh/km,1.700 kg,141 kW,2.540 kg,"3,5 sec",491 km,€267 /km,430 L,"€110,706","€128,613","£105,860"
Mercedes-Benz EQV 300 Extra-Long,310 km,"90,0 kWh",290 Wh/km,0 kg,96 kW,2.660 kg,"12,1 sec",285 km,€254 /km,1.410 L,"€72,519","€84,809",N/A
Ford Mustang Mach-E SR AWD,345 km,"70,0 kWh",203 Wh/km,750 kg,78 kW,2.138 kg,"6,3 sec",347 km,€197 /km,422 L,"€69,200","€66,445",N/A
Mercedes-Benz EQS SUV 500 4MATIC,490 km,"108,4 kWh",221 Wh/km,1.800 kg,173 kW,2.805 kg,"5,2 sec",521 km,€278 /km,645 L,"€124,545","€148,173",N/A
Skoda Enyaq Coupe 60,345 km,"58,0 kWh",168 Wh/km,1.000 kg,82 kW,2.000 kg,"8,8 sec",375 km,€137 /km,570 L,"€46,850","€47,990",N/A
Smart EQ fortwo cabrio,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.125 kg,"11,9 sec",66 km,€286 /km,260 L,"€25,200","€27,910","£24,645"
NIO EL7 Standard Range,355 km,"73,5 kWh",207 Wh/km,2.000 kg,110 kW,2.421 kg,"3,9 sec",376 km,€246 /km,570 L,"€85,900","€88,900",N/A
Peugeot e-Traveller Long 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"14,3 sec",250 km,€248 /km,989 L,"€60,430","€68,378",N/A
Mini Cooper SE Convertible,165 km,"28,9 kWh",175 Wh/km,0 kg,44 kW,1.540 kg,"8,2 sec",167 km,€370 /km,160 L,"€60,000","€62,990","£52,500"
Audi Q4 Sportback e-tron 35,295 km,"52,0 kWh",176 Wh/km,0 kg,70 kW,1.970 kg,"9,0 sec",314 km,€174 /km,535 L,"€46,700","€54,155","£46,190"
Porsche Taycan Plus Sport Turismo,445 km,"83,7 kWh",188 Wh/km,0 kg,216 kW,2.235 kg,"5,4 sec",559 km,€227 /km,530 L,"€99,815","€105,607","£84,654"
Porsche Taycan 4S,415 km,"71,0 kWh",171 Wh/km,0 kg,183 kW,2.215 kg,"4,0 sec",525 km,€273 /km,491 L,"€114,559","€120,564","£90,700"
Mercedes-Benz EQV 250 Long,215 km,"60,0 kWh",279 Wh/km,0 kg,60 kW,2.594 kg,"12,0 sec",199 km,€272 /km,1.030 L,"€58,488",N/A,N/A
Porsche Taycan GTS Sport Turismo,505 km,"97,0 kWh",192 Wh/km,0 kg,240 kW,2.385 kg,"3,3 sec",639 km,€290 /km,489 L,"€148,600","€155,233","£118,300"
Mercedes-Benz EQA 250+,420 km,"70,5 kWh",168 Wh/km,0 kg,90 kW,2.055 kg,"9,1 sec",414 km,€136 /km,340 L,"€55,960","€58,080",N/A
Volkswagen ID.4 Pro 4MOTION,405 km,"77,0 kWh",190 Wh/km,1.200 kg,115 kW,2.221 kg,"6,9 sec",440 km,€121 /km,543 L,"€49,020",N/A,N/A
Audi Q4 Sportback e-tron 45 quattro,400 km,"76,6 kWh",192 Wh/km,1.200 kg,115 kW,2.215 kg,"6,9 sec",442 km,€149 /km,535 L,"€55,900","€63,465",N/A
Kia e-Soul 39.2 kWh,230 km,"39,2 kWh",170 Wh/km,0 kg,37 kW,1.610 kg,"9,9 sec",209 km,€167 /km,315 L,"€40,290","€37,295","£32,875"
Mercedes-Benz EQE AMG 53 4MATIC+,455 km,"90,6 kWh",199 Wh/km,750 kg,141 kW,2.525 kg,"3,5 sec",491 km,€271 /km,430 L,"€109,777","€128,613","£114,750"
Toyota Proace City Verso Electric L2 50 kWh,205 km,"46,3 kWh",226 Wh/km,750 kg,78 kW,1.813 kg,"11,2 sec",221 km,€205 /km,850 L,"€40,150","€46,895","£34,113"
Peugeot e-Traveller L3 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.056 kg,"13,3 sec",191 km,€262 /km,989 L,"€47,230",N/A,N/A
Porsche Taycan Sport Turismo,460 km,"82,3 kWh",179 Wh/km,0 kg,195 kW,2.190 kg,"4,8 sec",568 km,€225 /km,530 L,"€102,400","€108,100","£87,300"
Audi e-tron S ,320 km,"86,5 kWh",270 Wh/km,1.800 kg,146 kW,2.695 kg,"4,5 sec",339 km,€311 /km,660 L,"€93,800","€104,540","£87,000"
Ford Mustang Mach-E SR AWD,345 km,"70,0 kWh",203 Wh/km,750 kg,78 kW,2.138 kg,"6,3 sec",347 km,€191 /km,422 L,"€62,250","€66,670","£60,080"
Fisker Ocean Sport,350 km,"71,0 kWh",203 Wh/km,1.090 kg,100 kW,2.300 kg,"7,4 sec",391 km,€124 /km,476 L,"€43,900","€43,990","£36,900"
Porsche Taycan Turbo S Cross Turismo,410 km,"83,7 kWh",204 Wh/km,0 kg,216 kW,2.395 kg,"2,9 sec",520 km,€470 /km,489 L,"€199,168","€207,664","£149,300"
Peugeot e-Traveller L2 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.211 kg,"14,2 sec",250 km,€225 /km,603 L,"€52,230","€66,609","£48,995"
Porsche Taycan Turbo Cross Turismo,395 km,"83,7 kWh",212 Wh/km,0 kg,216 kW,2.395 kg,"3,3 sec",496 km,€389 /km,489 L,"€157,776","€163,900","£120,900"
Porsche Taycan Plus,485 km,"83,7 kWh",173 Wh/km,0 kg,216 kW,2.205 kg,"5,4 sec",621 km,€206 /km,491 L,"€98,863","€104,707","£83,654"
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,215 km,"60,0 kWh",279 Wh/km,0 kg,60 kW,2.517 kg,"12,0 sec",205 km,€322 /km,1.390 L,"€69,309",N/A,N/A
Opel Zafira-e Life L2 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.211 kg,"14,2 sec",250 km,€217 /km,603 L,"€53,550","€57,753","£50,195"
Kia e-Niro 39 kWh,235 km,"39,2 kWh",167 Wh/km,0 kg,37 kW,1.667 kg,"9,8 sec",215 km,€146 /km,451 L,"€34,400",N/A,"£29,595"
Opel Vivaro-e Combi L 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€269 /km,912 L,"€51,825","€50,044","£37,835"
Mercedes-Benz EQV 250 Extra-Long,210 km,"60,0 kWh",286 Wh/km,0 kg,60 kW,2.641 kg,"12,0 sec",199 km,€283 /km,1.410 L,"€59,363",N/A,N/A
Citroen e-SpaceTourer XL 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.240 kg,"14,2 sec",246 km,€201 /km,989 L,"€53,230",N/A,"£44,435"
Tesla Model S P90DL,405 km,"85,5 kWh",211 Wh/km,unknown,90 kW,2.262 kg,"3,0 sec",401 km,€327 /km,895 L,"€131,400","€133,700",N/A
Renault Zoe R90 Entry,140 km,"23,3 kWh",166 Wh/km,0 kg,0 kW,1.502 kg,"14,5 sec",102 km,€198 /km,338 L,"€30,100","€30,390","£19,845"
Toyota PROACE Verso L 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,1.989 kg,"12,1 sec",191 km,€304 /km,989 L,"€59,385",N/A,"£43,488"
Mercedes-Benz EQE SUV 300,440 km,"89,0 kWh",202 Wh/km,750 kg,120 kW,2.460 kg,"7,6 sec",468 km,€190 /km,520 L,"€83,748",N/A,N/A
Citroen e-Jumpy Combi M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€270 /km,507 L,"€51,940","€48,008",N/A
Mercedes-Benz EQE 500 4MATIC,505 km,"90,6 kWh",179 Wh/km,750 kg,141 kW,2.475 kg,"4,7 sec",549 km,€199 /km,430 L,"€87,286","€113,488",N/A
Mercedes-Benz EQE SUV 350+,450 km,"90,6 kWh",201 Wh/km,750 kg,141 kW,2.430 kg,"6,7 sec",485 km,€199 /km,520 L,"€86,811","€91,950",N/A
Porsche Taycan 4S Plus,480 km,"83,7 kWh",174 Wh/km,0 kg,216 kW,2.295 kg,"4,0 sec",613 km,€247 /km,491 L,"€120,081","€126,395","£94,996"
Peugeot e-Expert Combi Standard 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"13,1 sec",198 km,€271 /km,603 L,"€51,940","€48,353",N/A
Kia e-Niro 39 kWh,235 km,"39,2 kWh",167 Wh/km,0 kg,37 kW,1.667 kg,"9,8 sec",215 km,€150 /km,451 L,"€35,290",N/A,N/A
Fiat E-Ulysse L3 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.167 kg,"13,3 sec",250 km,€242 /km,800 L,"€62,990",N/A,N/A
Opel Zafira-e Life M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,3 sec",252 km,€256 /km,unknown,"€69,250","€66,198",N/A
Opel Combo-e Life XL 50 kWh,200 km,"46,3 kWh",232 Wh/km,750 kg,78 kW,1.813 kg,"11,7 sec",214 km,€212 /km,806 L,"€44,750",N/A,"£34,685"
Opel Vivaro-e Combi M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€255 /km,507 L,"€50,992","€48,108","£36,995"
Porsche Taycan Turbo Sport Turismo,405 km,"83,7 kWh",207 Wh/km,0 kg,216 kW,2.405 kg,"3,2 sec",512 km,€398 /km,489 L,"€165,372","€172,863","£126,800"
Porsche Taycan 4S Sport Turismo,440 km,"82,3 kWh",187 Wh/km,0 kg,195 kW,2.270 kg,"3,7 sec",546 km,€273 /km,530 L,"€121,800","€127,800","£96,700"
Citroen e-SpaceTourer XL 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.056 kg,"13,3 sec",191 km,€256 /km,989 L,"€47,230",N/A,"£39,035"
Peugeot e-Traveller L2 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.027 kg,"13,3 sec",191 km,€288 /km,603 L,"€46,230","€57,609",N/A
Peugeot e-Traveller Standard 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"13,1 sec",198 km,€289 /km,603 L,"€53,640","€57,428","£42,785"
Toyota PROACE Verso M 50 kWh,185 km,"46,3 kWh",250 Wh/km,1.000 kg,78 kW,1.969 kg,"12,1 sec",198 km,€292 /km,603 L,"€58,530",N/A,"£42,988"
Porsche Taycan 4S Sport Turismo,370 km,"71,0 kWh",192 Wh/km,0 kg,183 kW,2.245 kg,"4,0 sec",469 km,€308 /km,530 L,"€114,559","€121,463","£91,700"
Porsche Taycan Turbo S Sport Turismo,505 km,"97,0 kWh",192 Wh/km,0 kg,240 kW,2.395 kg,"2,4 sec",639 km,€407 /km,489 L,"€210,800","€219,900","£162,100"
Audi e-tron S Sportback ,335 km,"86,5 kWh",258 Wh/km,1.800 kg,146 kW,2.695 kg,"4,5 sec",354 km,€303 /km,615 L,"€96,050","€106,940","£88,700"
Citroen e-Jumpy Combi XL 75 kWh,260 km,"68,0 kWh",262 Wh/km,1.000 kg,79 kW,2.161 kg,"13,3 sec",250 km,€226 /km,912 L,"€58,730","€58,958",N/A
Skoda Enyaq Coupe iV 60,345 km,"58,0 kWh",168 Wh/km,1.000 kg,82 kW,2.008 kg,"8,8 sec",375 km,€139 /km,575 L,N/A,"€47,990",N/A
Tesla Model X Ludicrous Performance,440 km,"95,0 kWh",216 Wh/km,2.250 kg,100 kW,2.572 kg,"2,9 sec",438 km,€264 /km,unknown,N/A,"€115,920","£101,350"
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,205 km,"60,0 kWh",293 Wh/km,0 kg,96 kW,2.405 kg,"12,0 sec",211 km,€346 /km,1.390 L,"€61,571","€80,253",N/A
Mercedes-Benz eVito Tourer Long 60 kWh,220 km,"60,0 kWh",273 Wh/km,0 kg,60 kW,2.483 kg,"12,0 sec",205 km,€311 /km,990 L,"€68,398",N/A,N/A
Tesla Model X P90DL,375 km,"85,5 kWh",228 Wh/km,unknown,90 kW,2.524 kg,"3,4 sec",366 km,€382 /km,unknown,"€142,200","€144,600",N/A
Toyota PROACE Shuttle M 75 kWh,265 km,"68,0 kWh",257 Wh/km,1.000 kg,79 kW,2.131 kg,"13,1 sec",252 km,€227 /km,550 L,N/A,"€60,095",N/A
Smart EQ fortwo cabrio,95 km,"16,7 kWh",176 Wh/km,0 kg,0 kW,1.115 kg,"11,8 sec",65 km,€263 /km,260 L,"€25,200","€26,995","£19,835"
Tesla Model X Performance,420 km,"95,0 kWh",226 Wh/km,2.250 kg,100 kW,2.572 kg,"3,7 sec",413 km,€242 /km,unknown,"€99,700","€102,420","£89,850"
Porsche Taycan Turbo S Cross Turismo,380 km,"83,7 kWh",220 Wh/km,0 kg,216 kW,2.395 kg,"2,9 sec",478 km,€486 /km,489 L,"€191,096","€198,400","£143,400"
Porsche Taycan 4S Plus Sport Turismo,430 km,"83,7 kWh",195 Wh/km,0 kg,216 kW,2.325 kg,"4,0 sec",546 km,€277 /km,530 L,"€120,081","€127,294","£95,996"
Porsche Taycan Turbo S Sport Turismo,395 km,"83,7 kWh",212 Wh/km,0 kg,216 kW,2.400 kg,"2,8 sec",501 km,€487 /km,489 L,"€198,692","€207,163","£149,300"
Porsche Taycan Turbo Sport Turismo,505 km,"97,0 kWh",192 Wh/km,0 kg,240 kW,2.390 kg,"2,7 sec",639 km,€340 /km,489 L,"€176,600","€184,000","£134,800"
Opel Zafira-e Life L2 50 kWh,180 km,"46,3 kWh",257 Wh/km,1.000 kg,78 kW,2.027 kg,"13,3 sec",191 km,€268 /km,603 L,"€47,550","€48,753",N/A
